Date,spx
01/12/94,448.9200134
02/12/94,453.2999878
05/12/94,453.3200073
06/12/94,453.1099854
07/12/94,451.230011
08/12/94,445.4500122
09/12/94,446.9599915
12/12/94,449.4700012
13/12/94,450.1499939
14/12/94,454.9700012
15/12/94,455.3399963
16/12/94,458.7999878
19/12/94,457.9100037
20/12/94,457.1000061
21/12/94,459.6099854
22/12/94,459.6799927
23/12/94,459.8299866
26/12/94,459.8299866
27/12/94,462.4700012
28/12/94,460.8599854
29/12/94,461.1700134
30/12/94,459.269989
02/01/95,459.269989
03/01/95,459.1099854
04/01/95,460.7099915
05/01/95,460.3399963
06/01/95,460.6799927
09/01/95,460.8299866
10/01/95,461.6799927
11/01/95,461.6600037
12/01/95,461.6400146
13/01/95,465.9700012
16/01/95,469.3800049
17/01/95,470.0499878
18/01/95,469.7099915
19/01/95,466.9500122
20/01/95,464.7799988
23/01/95,465.8200073
24/01/95,465.8599854
25/01/95,467.4400024
26/01/95,468.3200073
27/01/95,470.3900146
30/01/95,468.5100098
31/01/95,470.4200134
01/02/95,470.3999939
02/02/95,472.7900085
03/02/95,478.6499939
06/02/95,481.1400146
07/02/95,480.8099976
08/02/95,481.1900024
09/02/95,480.1900024
10/02/95,481.4599915
13/02/95,481.6499939
14/02/95,482.5499878
15/02/95,484.5400085
16/02/95,485.2200012
17/02/95,481.9700012
20/02/95,481.9700012
21/02/95,482.7200012
22/02/95,485.0700073
23/02/95,486.9100037
24/02/95,488.1099854
27/02/95,483.8099976
28/02/95,487.3900146
01/03/95,485.6499939
02/03/95,485.1300049
03/03/95,485.4200134
06/03/95,485.6300049
07/03/95,482.1199951
08/03/95,483.1400146
09/03/95,483.1600037
10/03/95,489.5700073
13/03/95,490.0499878
14/03/95,492.8900146
15/03/95,491.8800049
16/03/95,495.4100037
17/03/95,495.519989
20/03/95,496.1400146
21/03/95,495.0700073
22/03/95,495.6700134
23/03/95,495.9500122
24/03/95,500.9700012
27/03/95,503.2000122
28/03/95,503.8999939
29/03/95,503.1199951
30/03/95,502.2200012
31/03/95,500.7099915
03/04/95,501.8500061
04/04/95,505.2399902
05/04/95,505.5700073
06/04/95,506.0799866
07/04/95,506.4200134
10/04/95,507.0100098
11/04/95,505.5299988
12/04/95,507.1700134
13/04/95,509.230011
14/04/95,509.230011
17/04/95,506.1300049
18/04/95,505.3699951
19/04/95,504.9200134
20/04/95,505.2900085
21/04/95,508.4899902
24/04/95,512.8900146
25/04/95,512.0999756
26/04/95,512.6599731
27/04/95,513.5499878
28/04/95,514.710022
01/05/95,514.2600098
02/05/95,514.8599854
03/05/95,520.4799805
04/05/95,520.539978
05/05/95,520.1199951
08/05/95,523.960022
09/05/95,523.5599976
10/05/95,524.3599854
11/05/95,524.3699951
12/05/95,525.5499878
15/05/95,527.7399902
16/05/95,528.1900024
17/05/95,527.0700073
18/05/95,519.5800171
19/05/95,519.1900024
22/05/95,523.6500244
23/05/95,528.5900269
24/05/95,528.6099854
25/05/95,528.5900269
26/05/95,523.6500244
29/05/95,523.6500244
30/05/95,523.5800171
31/05/95,533.4000244
01/06/95,533.4899902
02/06/95,532.5100098
05/06/95,535.5999756
06/06/95,535.5499878
07/06/95,533.1300049
08/06/95,532.3499756
09/06/95,527.9400024
12/06/95,530.8800049
13/06/95,536.0499878
14/06/95,536.4699707
15/06/95,537.1199951
16/06/95,539.8300171
19/06/95,545.2199707
20/06/95,544.9799805
21/06/95,543.9799805
22/06/95,551.0700073
23/06/95,549.710022
26/06/95,544.1300049
27/06/95,542.4299927
28/06/95,544.7299805
29/06/95,543.8699951
30/06/95,544.75
03/07/95,547.0900269
04/07/95,547.0900269
05/07/95,547.2600098
06/07/95,553.9899902
07/07/95,556.3699951
10/07/95,557.1900024
11/07/95,554.7800293
12/07/95,560.8900146
13/07/95,561
14/07/95,559.8900146
17/07/95,562.7199707
18/07/95,558.460022
19/07/95,550.9799805
20/07/95,553.539978
21/07/95,553.6199951
24/07/95,556.6300049
25/07/95,561.0999756
26/07/95,561.6099854
27/07/95,565.2199707
28/07/95,562.9299927
31/07/95,562.0599976
01/08/95,559.6400146
02/08/95,558.7999878
03/08/95,558.75
04/08/95,558.9400024
07/08/95,560.0300293
08/08/95,560.3900146
09/08/95,559.710022
10/08/95,557.4500122
11/08/95,555.1099854
14/08/95,559.7399902
15/08/95,558.5700073
16/08/95,559.9699707
17/08/95,559.039978
18/08/95,559.210022
21/08/95,558.1099854
22/08/95,559.5200195
23/08/95,557.1400146
24/08/95,557.460022
25/08/95,560.0999756
28/08/95,559.0499878
29/08/95,560
30/08/95,560.9199829
31/08/95,561.8800049
01/09/95,563.8400269
04/09/95,563.8400269
05/09/95,569.1699829
06/09/95,570.1699829
07/09/95,570.289978
08/09/95,572.6799927
11/09/95,573.9099731
12/09/95,576.5100098
13/09/95,578.7700195
14/09/95,583.6099854
15/09/95,583.3499756
18/09/95,582.7700195
19/09/95,584.2000122
20/09/95,586.7700195
21/09/95,583
22/09/95,581.7299805
25/09/95,581.8099976
26/09/95,581.4099731
27/09/95,581.039978
28/09/95,585.8699951
29/09/95,584.4099731
02/10/95,581.7199707
03/10/95,582.3400269
04/10/95,581.4699707
05/10/95,582.6300049
06/10/95,582.4899902
09/10/95,578.3699951
10/10/95,577.5200195
11/10/95,579.460022
12/10/95,583.0999756
13/10/95,584.5
16/10/95,583.0300293
17/10/95,586.7800293
18/10/95,587.4400024
19/10/95,590.6500244
20/10/95,587.460022
23/10/95,585.0599976
24/10/95,586.539978
25/10/95,582.4699707
26/10/95,576.7199707
27/10/95,579.7000122
30/10/95,583.25
31/10/95,581.5
01/11/95,584.2199707
02/11/95,589.7199707
03/11/95,590.5700073
06/11/95,588.460022
07/11/95,586.3200073
08/11/95,591.710022
09/11/95,593.2600098
10/11/95,592.7199707
13/11/95,592.2999878
14/11/95,589.289978
15/11/95,593.960022
16/11/95,597.3400269
17/11/95,600.0700073
20/11/95,596.8499756
21/11/95,600.2399902
22/11/95,598.4000244
23/11/95,598.4000244
24/11/95,599.9699707
27/11/95,601.3200073
28/11/95,606.4500122
29/11/95,607.6400146
30/11/95,605.3699951
01/12/95,606.9799805
04/12/95,613.6799927
05/12/95,617.6799927
06/12/95,620.1799927
07/12/95,616.1699829
08/12/95,617.4799805
11/12/95,619.5200195
12/12/95,618.7800293
13/12/95,621.6900024
14/12/95,616.9199829
15/12/95,616.3400269
18/12/95,606.8099976
19/12/95,611.9299927
20/12/95,605.9400024
21/12/95,610.4899902
22/12/95,611.9500122
25/12/95,611.9500122
26/12/95,614.2999878
27/12/95,614.5300293
28/12/95,614.1199951
29/12/95,615.9299927
01/01/96,615.9299927
02/01/96,620.7299805
03/01/96,621.3200073
04/01/96,617.7000122
05/01/96,616.710022
08/01/96,618.460022
09/01/96,609.4500122
10/01/96,598.4799805
11/01/96,602.6900024
12/01/96,601.8099976
15/01/96,599.8200073
16/01/96,608.4400024
17/01/96,606.3699951
18/01/96,608.2399902
19/01/96,611.8300171
22/01/96,613.4000244
23/01/96,612.789978
24/01/96,619.960022
25/01/96,617.0300293
26/01/96,621.6199951
29/01/96,624.2199707
30/01/96,630.1500244
31/01/96,636.0200195
01/02/96,638.460022
02/02/96,635.8400269
05/02/96,641.4299927
06/02/96,646.3300171
07/02/96,649.9299927
08/02/96,656.0700073
09/02/96,656.3699951
12/02/96,661.4500122
13/02/96,660.5100098
14/02/96,655.5800171
15/02/96,651.3200073
16/02/96,647.9799805
19/02/96,647.9799805
20/02/96,640.6500244
21/02/96,648.0999756
22/02/96,658.8599854
23/02/96,659.0800171
26/02/96,650.460022
27/02/96,647.2399902
28/02/96,644.75
29/02/96,640.4299927
01/03/96,644.3699951
04/03/96,650.8099976
05/03/96,655.789978
06/03/96,652
07/03/96,653.6500244
08/03/96,633.5
11/03/96,640.0200195
12/03/96,637.0900269
13/03/96,638.5499878
14/03/96,640.8699951
15/03/96,641.4299927
18/03/96,652.6500244
19/03/96,651.6900024
20/03/96,649.9799805
21/03/96,649.1900024
22/03/96,650.6199951
25/03/96,650.039978
26/03/96,652.9699707
27/03/96,648.9099731
28/03/96,648.9400024
29/03/96,645.5
01/04/96,653.7299805
02/04/96,655.2600098
03/04/96,655.8800049
04/04/96,655.8599854
05/04/96,655.8599854
08/04/96,644.2399902
09/04/96,642.1900024
10/04/96,633.5
11/04/96,631.1799927
12/04/96,636.710022
15/04/96,642.4899902
16/04/96,645
17/04/96,641.6099854
18/04/96,643.6099854
19/04/96,645.0700073
22/04/96,647.8900146
23/04/96,651.5800171
24/04/96,650.1699829
25/04/96,652.8699951
26/04/96,653.460022
29/04/96,654.1599731
30/04/96,654.1699829
01/05/96,654.5800171
02/05/96,643.3800049
03/05/96,641.6300049
06/05/96,640.8099976
07/05/96,638.2600098
08/05/96,644.7700195
09/05/96,645.4400024
10/05/96,652.0900269
13/05/96,661.5100098
14/05/96,665.5999756
15/05/96,665.4199829
16/05/96,664.8499756
17/05/96,668.9099731
20/05/96,673.1500244
21/05/96,672.7600098
22/05/96,678.4199829
23/05/96,676
24/05/96,678.5100098
27/05/96,678.5100098
28/05/96,672.2299805
29/05/96,667.9299927
30/05/96,671.7000122
31/05/96,669.1199951
03/06/96,667.6799927
04/06/96,672.5599976
05/06/96,678.4400024
06/06/96,673.0300293
07/06/96,673.3099976
10/06/96,672.1599731
11/06/96,670.9699707
12/06/96,669.039978
13/06/96,667.9199829
14/06/96,665.8499756
17/06/96,665.1599731
18/06/96,662.0599976
19/06/96,661.960022
20/06/96,662.0999756
21/06/96,666.8400269
24/06/96,668.8499756
25/06/96,668.4799805
26/06/96,664.3900146
27/06/96,668.5499878
28/06/96,670.6300049
01/07/96,675.8800049
02/07/96,673.6099854
03/07/96,672.4000244
04/07/96,672.4000244
05/07/96,657.4400024
08/07/96,652.539978
09/07/96,654.75
10/07/96,656.0599976
11/07/96,645.6699829
12/07/96,646.1900024
15/07/96,629.7999878
16/07/96,628.3699951
17/07/96,634.0700073
18/07/96,643.5599976
19/07/96,638.7299805
22/07/96,633.7700195
23/07/96,626.8699951
24/07/96,626.6500244
25/07/96,631.1699829
26/07/96,635.9000244
29/07/96,630.9099731
30/07/96,635.2600098
31/07/96,639.9500122
01/08/96,650.0200195
02/08/96,662.4899902
05/08/96,660.2299805
06/08/96,662.3800049
07/08/96,664.1599731
08/08/96,662.5900269
09/08/96,662.0999756
12/08/96,665.7700195
13/08/96,660.2000122
14/08/96,662.0499878
15/08/96,662.2800293
16/08/96,665.210022
19/08/96,666.5800171
20/08/96,665.6900024
21/08/96,665.0700073
22/08/96,670.6799927
23/08/96,667.0300293
26/08/96,663.8800049
27/08/96,666.4000244
28/08/96,664.8099976
29/08/96,657.4000244
30/08/96,651.9899902
02/09/96,651.9899902
03/09/96,654.7199707
04/09/96,655.6099854
05/09/96,649.4400024
06/09/96,655.6799927
09/09/96,663.7600098
10/09/96,663.8099976
11/09/96,667.2800293
12/09/96,671.1500244
13/09/96,680.539978
16/09/96,683.9799805
17/09/96,682.9400024
18/09/96,681.4699707
19/09/96,683
20/09/96,687.0300293
23/09/96,686.4799805
24/09/96,685.6099854
25/09/96,685.8300171
26/09/96,685.8599854
27/09/96,686.1900024
30/09/96,687.3300171
01/10/96,689.0800171
02/10/96,694.0100098
03/10/96,692.7800293
04/10/96,701.460022
07/10/96,703.3400269
08/10/96,700.6400146
09/10/96,696.7399902
10/10/96,694.6099854
11/10/96,700.6599731
14/10/96,703.539978
15/10/96,702.5700073
16/10/96,704.4099731
17/10/96,706.9899902
18/10/96,710.8200073
21/10/96,709.8499756
22/10/96,706.5700073
23/10/96,707.2700195
24/10/96,702.289978
25/10/96,700.9199829
28/10/96,697.2600098
29/10/96,701.5
30/10/96,700.9000244
31/10/96,705.2700195
01/11/96,703.7700195
04/11/96,706.7299805
05/11/96,714.1400146
06/11/96,724.5900269
07/11/96,727.6500244
08/11/96,730.8200073
11/11/96,731.8699951
12/11/96,729.5599976
13/11/96,731.1300049
14/11/96,735.8800049
15/11/96,737.6199951
18/11/96,737.0200195
19/11/96,742.1599731
20/11/96,743.9500122
21/11/96,742.75
22/11/96,748.7299805
25/11/96,757.0300293
26/11/96,755.960022
27/11/96,755
28/11/96,755
29/11/96,757.0200195
02/12/96,756.5599976
03/12/96,748.2800293
04/12/96,745.0999756
05/12/96,744.3800049
06/12/96,739.5999756
09/12/96,749.7600098
10/12/96,747.539978
11/12/96,740.7299805
12/12/96,729.2999878
13/12/96,728.6400146
16/12/96,720.9799805
17/12/96,726.039978
18/12/96,731.539978
19/12/96,745.7600098
20/12/96,748.8699951
23/12/96,746.9199829
24/12/96,751.0300293
25/12/96,751.0300293
26/12/96,755.8200073
27/12/96,756.789978
30/12/96,753.8499756
31/12/96,740.7399902
01/01/97,740.7399902
02/01/97,737.0100098
03/01/97,748.0300293
06/01/97,747.6500244
07/01/97,753.2299805
08/01/97,748.4099731
09/01/97,754.8499756
10/01/97,759.5
13/01/97,759.5100098
14/01/97,768.8599854
15/01/97,767.2000122
16/01/97,769.75
17/01/97,776.1699829
20/01/97,776.7000122
21/01/97,782.7199707
22/01/97,786.2299805
23/01/97,777.5599976
24/01/97,770.5200195
27/01/97,765.0200195
28/01/97,765.0200195
29/01/97,772.5
30/01/97,784.1699829
31/01/97,786.1599731
03/02/97,786.7299805
04/02/97,789.2600098
05/02/97,778.2800293
06/02/97,780.1500244
07/02/97,789.5599976
10/02/97,785.4299927
11/02/97,789.5900269
12/02/97,802.7700195
13/02/97,811.8200073
14/02/97,808.4799805
17/02/97,808.4799805
18/02/97,816.289978
19/02/97,812.4899902
20/02/97,802.7999878
21/02/97,801.7700195
24/02/97,810.2800293
25/02/97,812.0300293
26/02/97,805.6799927
27/02/97,795.0700073
28/02/97,790.8200073
03/03/97,795.3099976
04/03/97,790.9500122
05/03/97,801.9899902
06/03/97,798.5599976
07/03/97,804.9699707
10/03/97,813.6500244
11/03/97,811.3400269
12/03/97,804.2600098
13/03/97,789.5599976
14/03/97,793.1699829
17/03/97,795.710022
18/03/97,789.6599731
19/03/97,785.7700195
20/03/97,782.6500244
21/03/97,784.0999756
24/03/97,790.8900146
25/03/97,789.0700073
26/03/97,790.5
27/03/97,773.8800049
28/03/97,773.8800049
31/03/97,757.1199951
01/04/97,759.6400146
02/04/97,750.1099854
03/04/97,750.3200073
04/04/97,757.9000244
07/04/97,762.1300049
08/04/97,766.1199951
09/04/97,760.5999756
10/04/97,758.3400269
11/04/97,737.6500244
14/04/97,743.7299805
15/04/97,754.7199707
16/04/97,763.5300293
17/04/97,761.7700195
18/04/97,766.3400269
21/04/97,760.3699951
22/04/97,774.6099854
23/04/97,773.6400146
24/04/97,771.1799927
25/04/97,765.3699951
28/04/97,772.960022
29/04/97,794.0499878
30/04/97,801.3400269
01/05/97,798.5300293
02/05/97,812.9699707
05/05/97,830.289978
06/05/97,827.7600098
07/05/97,815.6199951
08/05/97,820.2600098
09/05/97,824.7800293
12/05/97,837.6599731
13/05/97,833.1300049
14/05/97,836.039978
15/05/97,841.8800049
16/05/97,829.75
19/05/97,833.2700195
20/05/97,841.6599731
21/05/97,839.3499756
22/05/97,835.6599731
23/05/97,847.0300293
26/05/97,847.0300293
27/05/97,849.710022
28/05/97,847.210022
29/05/97,844.0800171
30/05/97,848.2800293
02/06/97,846.3599854
03/06/97,845.4799805
04/06/97,840.1099854
05/06/97,843.4299927
06/06/97,858.0100098
09/06/97,862.9099731
10/06/97,865.2700195
11/06/97,869.5700073
12/06/97,883.460022
13/06/97,893.2700195
16/06/97,893.9000244
17/06/97,894.4199829
18/06/97,889.0599976
19/06/97,897.9899902
20/06/97,898.7000122
23/06/97,878.6199951
24/06/97,896.3400269
25/06/97,888.9899902
26/06/97,883.6799927
27/06/97,887.2999878
30/06/97,885.1400146
01/07/97,891.0300293
02/07/97,904.0300293
03/07/97,916.9199829
04/07/97,916.9199829
07/07/97,912.2000122
08/07/97,918.75
09/07/97,907.539978
10/07/97,913.7800293
11/07/97,916.6799927
14/07/97,918.3800049
15/07/97,925.7600098
16/07/97,936.5900269
17/07/97,931.6099854
18/07/97,915.2999878
21/07/97,912.9400024
22/07/97,933.9799805
23/07/97,936.5599976
24/07/97,940.2999878
25/07/97,938.789978
28/07/97,936.4500122
29/07/97,942.289978
30/07/97,952.289978
31/07/97,954.3099976
01/08/97,947.1400146
04/08/97,950.2999878
05/08/97,952.3699951
06/08/97,960.3200073
07/08/97,951.1900024
08/08/97,933.539978
11/08/97,937
12/08/97,926.5300293
13/08/97,922.0200195
14/08/97,924.7700195
15/08/97,900.8099976
18/08/97,912.4899902
19/08/97,926.0100098
20/08/97,939.3499756
21/08/97,925.0499878
22/08/97,923.539978
25/08/97,920.1599731
26/08/97,913.0200195
27/08/97,913.7000122
28/08/97,903.6699829
29/08/97,899.4699707
01/09/97,899.4699707
02/09/97,927.5800171
03/09/97,927.8599854
04/09/97,930.8699951
05/09/97,929.0499878
08/09/97,931.2000122
09/09/97,933.6199951
10/09/97,919.0300293
11/09/97,912.5900269
12/09/97,923.9099731
15/09/97,919.7700195
16/09/97,945.6400146
17/09/97,943
18/09/97,947.289978
19/09/97,950.5100098
22/09/97,955.4299927
23/09/97,951.9299927
24/09/97,944.4799805
25/09/97,937.9099731
26/09/97,945.2199707
29/09/97,953.3400269
30/09/97,947.2800293
01/10/97,955.4099731
02/10/97,960.460022
03/10/97,965.0300293
06/10/97,972.6900024
07/10/97,983.1199951
08/10/97,973.8400269
09/10/97,970.6199951
10/10/97,966.9799805
13/10/97,968.0999756
14/10/97,970.2800293
15/10/97,965.7199707
16/10/97,955.25
17/10/97,944.1599731
20/10/97,955.6099854
21/10/97,972.2800293
22/10/97,968.4899902
23/10/97,950.6900024
24/10/97,941.6400146
27/10/97,876.9899902
28/10/97,921.8499756
29/10/97,919.1599731
30/10/97,903.6799927
31/10/97,914.6199951
03/11/97,938.9899902
04/11/97,940.7600098
05/11/97,942.7600098
06/11/97,938.0300293
07/11/97,927.5100098
10/11/97,921.1300049
11/11/97,923.7800293
12/11/97,905.960022
13/11/97,916.6599731
14/11/97,928.3499756
17/11/97,946.2000122
18/11/97,938.2299805
19/11/97,944.5900269
20/11/97,958.9799805
21/11/97,963.0900269
24/11/97,946.6699829
25/11/97,950.8200073
26/11/97,951.6400146
27/11/97,951.6400146
28/11/97,955.4000244
01/12/97,974.7700195
02/12/97,971.6799927
03/12/97,976.7700195
04/12/97,973.0999756
05/12/97,983.789978
08/12/97,982.3699951
09/12/97,975.7800293
10/12/97,969.789978
11/12/97,954.9400024
12/12/97,953.3900146
15/12/97,963.3900146
16/12/97,968.039978
17/12/97,965.539978
18/12/97,955.2999878
19/12/97,946.7800293
22/12/97,953.7000122
23/12/97,939.1300049
24/12/97,932.7000122
25/12/97,932.7000122
26/12/97,936.460022
29/12/97,953.3499756
30/12/97,970.8400269
31/12/97,970.4299927
01/01/98,970.4299927
02/01/98,975.039978
05/01/98,977.0700073
06/01/98,966.5800171
07/01/98,964
08/01/98,956.0499878
09/01/98,927.6900024
12/01/98,939.210022
13/01/98,952.1199951
14/01/98,957.9400024
15/01/98,950.7299805
16/01/98,961.5100098
19/01/98,961.5100098
20/01/98,978.5999756
21/01/98,970.8099976
22/01/98,963.039978
23/01/98,957.5900269
26/01/98,956.9500122
27/01/98,969.0200195
28/01/98,977.460022
29/01/98,985.4899902
30/01/98,980.2800293
02/02/98,1001.27002
03/02/98,1006
04/02/98,1006.900024
05/02/98,1003.539978
06/02/98,1012.460022
09/02/98,1010.73999
10/02/98,1019.01001
11/02/98,1020.01001
12/02/98,1024.140015
13/02/98,1020.090027
16/02/98,1020.090027
17/02/98,1022.76001
18/02/98,1032.079956
19/02/98,1028.280029
20/02/98,1034.209961
23/02/98,1038.140015
24/02/98,1030.560059
