Date,Spot
"oct 04, 1991",21.49
"oct 11, 1991",22.11
"oct 18, 1991",22.75
"oct 25, 1991",22.54
"nov 01, 1991",22.05
"nov 08, 1991",22.18
"nov 15, 1991",21.36
"nov 22, 1991",20.76
"nov 29, 1991",19.85
"dic 06, 1991",19.24
"dic 13, 1991",18.45
"dic 20, 1991",18.31
"dic 27, 1991",17.73
"ene 03, 1992",18.18
"ene 10, 1992",17.77
"ene 17, 1992",18.37
"ene 24, 1992",18.11
"ene 31, 1992",18.28
"feb 07, 1992",18.47
"feb 14, 1992",18.58
"feb 21, 1992",17.74
"feb 28, 1992",17.42
"mar 06, 1992",17.28
"mar 13, 1992",17.4
"mar 20, 1992",17.73
"mar 27, 1992",17.75
"abr 03, 1992",18.52
"abr 10, 1992",19.01
"abr 17, 1992",18.86
"abr 24, 1992",18.86
"may 01, 1992",19.37
"may 08, 1992",19.76
"may 15, 1992",19.79
"may 22, 1992",19.49
"may 29, 1992",20.68
"jun 05, 1992",21.08
"jun 12, 1992",21.21
"jun 19, 1992",21.16
"jun 26, 1992",21.31
"jul 03, 1992",20.62
"jul 10, 1992",19.95
"jul 17, 1992",20.02
"jul 24, 1992",20.26
"jul 31, 1992",20.58
"ago 07, 1992",19.88
"ago 14, 1992",19.68
"ago 21, 1992",19.79
"ago 28, 1992",19.62
"sep 04, 1992",19.9
"sep 11, 1992",20.28
"sep 18, 1992",20.45
"sep 25, 1992",20.35
"oct 02, 1992",20.26
"oct 09, 1992",20.33
"oct 16, 1992",20.76
"oct 23, 1992",20.37
"oct 30, 1992",19.55
"nov 06, 1992",19.19
"nov 13, 1992",19.25
"nov 20, 1992",19.28
"nov 27, 1992",19.12
"dic 04, 1992",18.57
"dic 11, 1992",18.12
"dic 18, 1992",18.04
"dic 25, 1992",18.23
"ene 01, 1993",17.87
"ene 08, 1993",17.51
"ene 15, 1993",17.05
"ene 22, 1993",16.98
"ene 29, 1993",18
"feb 05, 1993",18.58
"feb 12, 1993",18.45
"feb 19, 1993",18.05
"feb 26, 1993",18.81
"mar 05, 1993",19.15
"mar 12, 1993",19.02
"mar 19, 1993",18.66
"mar 26, 1993",18.42
"abr 02, 1993",18.73
"abr 09, 1993",18.71
"abr 16, 1993",18.67
"abr 23, 1993",18.56
"abr 30, 1993",18.67
"may 07, 1993",18.97
"may 14, 1993",18.76
"may 21, 1993",18.15
"may 28, 1993",18.25
"jun 04, 1993",18.34
"jun 11, 1993",18.06
"jun 18, 1993",17.31
"jun 25, 1993",17.2
"jul 02, 1993",17.15
"jul 09, 1993",16.8
"jul 16, 1993",16.66
"jul 23, 1993",16.68
"jul 30, 1993",16.95
"ago 06, 1993",16.6
"ago 13, 1993",16.61
"ago 20, 1993",16.72
"ago 27, 1993",16.85
"sep 03, 1993",16.53
"sep 10, 1993",15.78
"sep 17, 1993",15.47
"sep 24, 1993",16.03
"oct 01, 1993",16.72
"oct 08, 1993",16.9
"oct 15, 1993",16.96
"oct 22, 1993",16.61
"oct 29, 1993",15.86
"nov 05, 1993",15.76
"nov 12, 1993",15.22
"nov 19, 1993",15.36
"nov 26, 1993",14.87
"dic 03, 1993",14.16
"dic 10, 1993",13.73
"dic 17, 1993",13.99
"dic 24, 1993",13.52
"dic 31, 1993",13.17
"ene 07, 1994",14.18
"ene 14, 1994",14
