Date,vol_nyse
feb-71,371.26
mar-71,389.98
abr-71,401.65
may-71,303.15
jun-71,303.65
jul-71,265.31
ago-71,320.62
sep-71,252.8
oct-71,280.15
nov-71,276.42
dic-71,377.76
ene-72,379.52
feb-72,376.34
mar-72,403.73
abr-72,368.03
may-72,316.35
jun-72,314.56
jul-72,288.99
ago-72,357
sep-72,246.28
oct-72,317.4
nov-72,405.65
dic-72,344.77
ene-73,393.8
feb-73,318.3
mar-73,342.41
abr-73,278
may-73,337.24
jun-73,268.72
jul-73,307.76
ago-73,270.51
sep-73,329.08
oct-73,422.9
nov-73,399.93
dic-73,384.54
ene-74,363.14
feb-74,256.83
mar-74,309.01
abr-74,254.28
may-74,275.26
jun-74,245.36
jul-74,274.09
ago-74,280.11
sep-74,279.96
oct-74,377.11
nov-74,286.82
dic-74,315.14
ene-75,432.53
feb-75,423.74
mar-75,453.6
abr-75,447.32
may-75,457.52
jun-75,446.97
jul-75,441.67
ago-75,281.43
sep-75,275.11
oct-75,365.54
nov-75,318.86
dic-75,348.95
ene-76,635.85
feb-76,596.14
mar-76,530.58
abr-76,392.24
may-76,355.88
jun-76,417.21
jul-76,393.78
ago-76,346.66
sep-76,414.8
oct-76,361.36
nov-76,381.04
dic-76,534.58
ene-77,501.62
feb-77,398.48
mar-77,434.77
abr-77,403.02
may-77,425.86
jun-77,484.17
jul-77,449.52
ago-77,433.05
sep-77,383.7
oct-77,413.52
nov-77,494.71
dic-77,451.35
ene-78,428.15
feb-78,368.6
mar-78,497.63
abr-78,695.67
may-78,775.85
jun-78,671.26
jul-78,541.41
ago-78,865.01
sep-78,672.12
oct-78,682.21
nov-78,514.64
dic-78,492.51
ene-79,615.62
feb-79,475.73
mar-79,650.12
abr-79,620.73
may-79,623.65
jun-79,728.47
jul-79,680.78
ago-79,825.08
sep-79,714.05
oct-79,858
nov-79,653.67
dic-79,710.29
ene-80,1158.48
feb-80,956.65
mar-80,876.41
abr-80,674
may-80,764.86
jun-80,829.69
jul-80,1021.71
ago-80,966.21
sep-80,1057.73
oct-80,1031.99
nov-80,989.25
dic-80,1025.32
ene-81,955.71
feb-81,816.44
mar-81,1174.55
abr-81,1123.45
may-81,905.57
jun-81,1101.04
jul-81,954.06
ago-81,920.59
sep-81,959.05
oct-81,996.32
nov-81,988.07
dic-81,959.15
ene-82,968.39
feb-82,972.22
mar-82,1270.23
abr-82,1136.44
may-82,1026.56
jun-82,1110.59
jul-82,1145.12
ago-82,1672.67
sep-82,1547.91
oct-82,2068.66
nov-82,1857.05
dic-82,1682.2
ene-83,1857.73
feb-83,1615.5
mar-83,1902.04
abr-83,1792.53
may-83,1953.34
jun-83,1974.03
jul-83,1590.23
ago-83,1706.39
sep-83,1740.18
oct-83,1794.34
nov-83,1814.51
dic-83,1848.85
ene-84,2215.87
feb-84,1932.82
mar-84,1855.22
abr-84,1717.48
may-84,1939.74
jun-84,1804.32
jul-84,1603.28
ago-84,2527.52
sep-84,1769.05
oct-84,2108.54
nov-84,1757.53
dic-84,1780.64
ene-85,2673.98
feb-85,2194.28
mar-85,2154.4
abr-85,1982.12
may-85,2350.18
jun-85,2117.47
jul-85,2462.95
ago-85,1924.3
sep-85,1860.29
oct-85,2543.09
nov-85,2445.27
dic-85,2802.36
ene-86,2879.18
feb-86,2899.22
mar-86,3215.1
abr-86,3239.87
may-86,2680.11
jun-86,2649.17
jul-86,3029.59
ago-86,2701.99
sep-86,3167.45
oct-86,3016.57
nov-86,2940.75
dic-86,3261.01
ene-87,4040.8
feb-87,3386.08
mar-87,3965.51
abr-87,3929.82
may-87,3417.97
jun-87,3594.36
jul-87,3967.83
ago-87,4063.02
sep-87,3723.69
oct-87,6094.58
nov-87,3590.25
dic-87,3927.34
ene-88,3495.1
feb-88,3693.76
mar-88,4052.35
abr-88,3260.74
may-88,3232.03
jun-88,4306.99
jul-88,3338.32
ago-88,3327.36
sep-88,3059.74
oct-88,3415.24
nov-88,2822.96
dic-88,2844.93
ene-89,3532.06
feb-89,3217.11
mar-89,3503.38
abr-89,3238.03
may-89,3748.84
jun-89,3967.44
jul-89,3250.03
ago-89,3948.07
sep-89,3035.33
oct-89,4012.62
nov-89,3031.96
dic-89,3213.67
ene-90,3794.08
feb-90,2962.35
mar-90,3284.66
abr-90,2801.34
may-90,3597.05
jun-90,3226.02
jul-90,3370.53
ago-90,4014.51
sep-90,2685.62
oct-90,3670.9
nov-90,3148.12
dic-90,3109.34
ene-91,3636.39
feb-91,4272.92
mar-91,3900.13
abr-91,4011.43
may-91,3741.96
jun-91,3259.25
jul-91,3457.64
ago-91,3772.75
sep-91,3246.51
oct-91,4084.67
nov-91,3726.82
dic-91,4155.56
ene-92,5267.77
feb-92,4292.32
mar-92,4081.55
abr-92,4319.54
may-92,3666.39
jun-92,4296.02
jul-92,4273.83
ago-92,3647.05
sep-92,4019.43
oct-92,4468.62
nov-92,4154.41
dic-92,4888.74
ene-93,5311.48
feb-93,5465.89
mar-93,6131.27
abr-93,6204.69
may-93,5101.97
jun-93,5531.01
jul-93,5303.16
ago-93,5495.72
sep-93,5522.09
oct-93,5936.42
nov-93,5866.57
dic-93,5778.41
ene-94,6629.39
feb-94,5831.56
mar-94,6862.95
abr-94,5365.77
may-94,5666.55
jun-94,5836.94
jul-94,4977.13
ago-94,6398.86
sep-94,6157.46
oct-94,6369.27
nov-94,6253.03
dic-94,6346.09
ene-95,6835.48
feb-95,6334.38
mar-95,7829.06
abr-95,6306.65
may-95,7558.96
jun-95,7535.43
jul-95,7302.15
ago-95,7128.57
sep-95,7055.69
oct-95,8033.8
nov-95,7575.68
dic-95,7721.61
ene-96,9190.24
feb-96,8754.06
mar-96,8985.55
abr-96,8861.8
may-96,8910.93
jun-96,7926.92
jul-96,8812.88
ago-96,7377.86
sep-96,8077.53
oct-96,9703.96
nov-96,8939.61
dic-96,9094.83
ene-97,11622.48
feb-97,9738.94
mar-97,10031.76
abr-97,10486.44
may-97,10131.85
jun-97,10925.42
jul-97,11996.71
ago-97,10634.11
sep-97,11428.1
oct-97,14031.74
nov-97,10252.44
dic-97,12032.12
ene-98,12189.57
feb-98,11726.32
mar-98,13722.69
abr-98,13688.52
may-98,11524.53
jun-98,13585.96
jul-98,14188.26
ago-98,15099.45
sep-98,16727
oct-98,18549.41
nov-98,13501.5
dic-98,15241.35
ene-99,16234.05
feb-99,14549.52
mar-99,18002.47
abr-99,18518.99
may-99,15949.53
jun-99,16126.42
jul-99,15359.96
ago-99,15818.49
sep-99,16447.46
oct-99,18831.44
nov-99,18343.15
dic-99,19669.7
ene-00,21484.25
feb-00,20917.63
mar-00,26182.77
abr-00,20140.41
may-00,19919.34
jun-00,21703.32
jul-00,19076.89
ago-00,20379.2
sep-00,20825.86
oct-00,25972.21
nov-00,21700.52
