,Open,High,Low,Close,Volume
1610,13289.53027,13320.26953,13266.21973,13306.63965,142210000
1611,13308.55957,13324.09961,13251.38965,13254.29004,123810000
1612,13254.59961,13354.33984,13253.20996,13323.36035,104920000
1613,13321.62012,13373.62012,13317.51953,13333.34961,111520000
1614,13329.70996,13573.33008,13325.11035,13539.86035,151770000
1615,13540.40039,13653.24023,13533.94043,13593.37012,185160000
1616,13588.57031,13593.15039,13526.66992,13553.09961,128020000
1617,13552.33008,13582.12012,13517.80957,13564.63965,120720000
1618,13565.41016,13626.48047,13556.74023,13577.95996,116210000
1619,13575.16992,13599.01953,13503,13596.92969,117910000
1620,13597.24023,13647.09961,13571.53027,13579.46973,429610000
1621,13577.84961,13601.90039,13521.67969,13558.91992,120370000
1622,13559.91992,13620.20996,13457.25,13457.54981,138630000
1623,13458.62988,13480.37012,13406.91016,13413.50977,124350000
1624,13413.46973,13522.83008,13413.46973,13485.96973,113990000
1625,13485.88965,13487.66016,13367.26953,13437.12988,146950000
1626,13437.66016,13598.25,13437.66016,13515.11035,106120000
1627,13515.29981,13567.05957,13424.91992,13482.36035,90730000
1628,13479.20996,13536.26953,13439.12012,13494.61035,103890000
1629,13495.17969,13594.33008,13495.17969,13575.36035,106390000
1630,13569.17969,13661.87012,13568.75,13610.15039,115500000
1631,13589.25977,13610.37988,13552.08984,13583.65039,71300000
1632,13582.87988,13592.33008,13473.30957,13473.53027,103630000
1633,13473.53027,13478.83008,13327.62012,13344.96973,101120000
1634,13346.28027,13428.49023,13326.12012,13326.38965,86630000
1635,13325.62012,13401.32031,13296.42969,13328.84961,113740000
1636,13329.54004,13437.66016,13325.92969,13424.23047,114880000
1637,13423.83984,13556.37012,13423.75977,13551.78027,113450000
1638,13539.62988,13561.65039,13468.90039,13557,135570000
1639,13553.24023,13588.73047,13510.92969,13548.94043,128410000
1640,13545.33008,13545.49023,13312.21973,13343.50977,239080000
1641,13344.28027,13368.54981,13235.15039,13345.88965,121880000
1642,13344.90039,13344.90039,13083.28027,13102.53027,122220000
1643,13103.53027,13155.20996,13063.62988,13077.33984,110670000
1644,13079.63965,13214.11035,13017.37012,13103.67969,114590000
1645,13104.21973,13151.71973,13040.16992,13107.20996,134640000
1646,13107.44043,13189.08008,13052.07031,13096.45996,138160000
1647,13099.19043,13273.70996,13099.11035,13232.62012,140510000
1648,13232.62012,13289.4502,13076.57031,13093.16016,137660000
1649,13092.28027,13140.58008,13038.70996,13112.44043,95350000
